Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Wollin;Siedlung;Potsdam-Mittelmark;830
Woltersdorf;Siedlung;Oder-Spree;7.700
Woltersdorf;Siedlung;Teltow-Fläming;970
Wolzig;Siedlung;Dahme-Spreewald;590
Wriezen;Siedlung;Märkisch-Oderland;5.490
Wulkow;Siedlung;Ostprignitz-Ruppin;580
Wünsdorf;Siedlung;Teltow-Fläming;3.320
Wusterhausen/Dosse;Siedlung;Ostprignitz-Ruppin;2.820
Wustermark;Siedlung;Havelland;2.320
Wusterwitz;Siedlung;Potsdam-Mittelmark;900
Wustrau;Siedlung;Ostprignitz-Ruppin;880
Zehdenick;Siedlung;Oberhavel;8.370
Zehlendorf;Siedlung;Oberhavel;800
Zerpenschleuse;Siedlung;Barnim;850
Zeuthen;Siedlung;Dahme-Spreewald;10.200
Ziegenhals;Siedlung;Dahme-Spreewald;930
Ziesar;Siedlung;Potsdam-Mittelmark;1.830
Ziltendorf;Siedlung;Oder-Spree;1.320
Zossen;Siedlung;Teltow-Fläming;6.560
Zühlsdorf;Siedlung;Oberhavel;1.480
